GEO_CODE,GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese,,
E05005186,Ashton,81,856,607,793,8,,
E05005270,Ashton,188,667,417,541,10.24096386,,
E05000800,Ashton Hurst,2762,2651,1398,1593,13.79310345,,
E05000801,Ashton St Michael's,1847,2605,1739,1644,9.074638864,,
E05000820,Ashton upon Mersey,486,1205,779,1161,10.60067255,,
E05000802,Ashton Waterloo,2180,2644,1472,1483,9.029537145,,
E05005357,Ashurst,934,1141,536,819,22.2955573,,
E05007669,Ashurst Wood,129,327,89,344,15.53398058,,
E05004580,"Ashurst, Copythorne South and Netley Marsh",177,1108,153,770,16.00463405,,
E05006761,"Ashwick, Chilcompton and Stratton",425,801,140,566,21.18228103,,
E05000999,Askern Spa,1604,3453,1265,1729,20.58563313,,
E05000251,Askew,4619,1606,3467,2101,11.66654656,,
E05003208,Askham,259,223,54,208,21.82976377,,
E05003115,Aspatria,713,859,291,495,20.92586647,,
E05001823,Aspley,8769,4561,3275,2293,11.01321586,,
E05008780,Aspley and Woburn,446,647,222,603,12.5,,
E05000842,Aspull New Springs Whelley,1732,2768,990,1742,11.77863619,,
E05005843,Astley,221,471,85,324,18.63525064,,
E05005166,Astley and Buckshaw,896,633,359,625,13.63636364,,
E05000650,Astley Bridge,1469,2267,1259,1946,25.23364486,,
E05000843,Astley Mosley Common,1131,1928,600,1499,27.25581395,,
E05001179,Aston,10947,7664,5122,3458,14.49513706,,
E05008809,Aston,237,878,209,814,17.54471291,,
E05007512,Aston Cantlow,124,288,62,245,15.24390244,,
E05002594,Aston Clinton,607,1306,295,1178,14.11290323,,
E05006569,Aston Rowant,198,279,46,287,19.34787161,,
E05006027,Astwell,152,259,35,224,18.74493083,,
E05007869,Astwood Bank and Feckenham,547,912,307,798,17.18061674,,
E05000844,Atherleigh,2011,2503,1337,1599,28.67461728,,
E05007458,Atherstone Central,1130,1023,543,596,13.90728477,,
E05007459,Atherstone North,559,916,290,508,16.65467552,,
E05007460,Atherstone South and Mancetter,811,1066,359,492,8.045977011,,
E05000845,Atherton,4215,3866,2136,2032,19.04761905,,
E05006402,Attenborough,10,405,142,331,21.36898693,,
E05007476,Attleborough,1244,1597,749,1061,17.51592357,,
E05000803,Audenshaw,1423,2502,1156,1554,17.51592357,,
E05008612,Audlem,231,819,138,631,17.51592357,,
E05001620,Audley,2602,2637,1440,1054,22.54938691,,
E05006964,Audley and Bignall End,909,1318,480,779,6.806282723,,
E05005358,Aughton and Downholland,300,873,241,721,21.78988327,,
E05005359,Aughton Park,86,556,124,483,14.55081184,,
E05007273,Auriol,53,526,123,508,12.71320043,,
E05002635,Austenwood,37,142,26,210,22.91144518,,
E05005663,Aveland,299,457,58,286,14.11623138,,
E05002229,Aveley and Uplands,1871,2299,728,1350,20.70484581,,
E05004309,Avening,243,254,49,240,23.59022258,,
E05001664,Avenue,791,1946,2431,2007,16.07427838,,
E05003561,Avon and Harbourne,146,221,54,303,14.1025641,,
E05007492,Avon and Swift,255,514,134,367,11.35531136,,
E05005988,Avondale Grange,2045,1341,802,783,6.707317073,,
E05000252,Avonmore and Brook Green,2535,998,3465,2109,18.96551724,,
E05001973,Avonmouth,3448,2956,1385,1850,25.83376508,,
E05004337,Awre,144,332,68,227,14.82758621,,
E05006403,Awsworth,121,477,131,340,20.57457083,,
E05008893,Axevale,288,500,124,529,17.67955801,,
E05001729,Axholme Central,543,1301,347,938,23.69146006,,
E05001730,Axholme North,897,1762,490,1145,23.21490568,,
E05001731,Axholme South,522,1333,261,967,25.83444044,,
E05003459,Axminster Rural,579,501,148,382,14.36781609,,
E05003460,Axminster Town,492,1029,451,758,16.54827654,,
E05007956,Aycliffe East,1526,1496,822,889,17.46575342,,
E05007957,Aycliffe North,1114,1496,657,998,11.88573586,,
E05007958,Aycliffe West,2451,1890,1192,1078,23.17596567,,
E05002595,Aylesbury Central,501,542,585,630,21.51394422,,
E05005104,Aylesford,1016,939,305,689,17.61904762,,
E05004867,Aylesford Green,1114,706,438,384,10.82251082,,
E05004943,Aylesham,1328,1220,448,664,10.82251082,,
E05001785,Aylestone,1309,2588,1376,1642,17.90844006,,
E05001842,Aylestone,1358,1363,699,967,19.20246233,,
E05005758,Aylsham,844,1543,507,1145,20.44534379,,
E05001483,Ayresome,1923,1683,1015,838,17.83474478,,
E05001218,Bablake,926,3093,1307,2124,19.00199962,,
E05001843,Backbury,278,532,123,391,16.82242991,,
E05008601,Backwell,258,676,177,743,18.24352524,,
E05007133,Bacton and Old Newton,172,507,90,343,18,,
E05005943,Badby,130,253,48,255,23.20472286,,
E05008715,"Baddeley, Milton and Norton",2842,4840,1723,2457,19.12756489,,
E05007461,Baddesley and Grendon,491,1046,219,539,12.55605381,,
E05008563,Badgeworth,139,430,73,318,24.27378999,,
E05007895,Badsey,390,596,126,361,18.06186321,,
E05007134,Badwell Ash,235,502,54,337,16.1971831,,
E05002441,Baffins,1433,2632,1368,1993,10.69664634,,
E05008139,Bagley,287,655,250,576,17.96407186,,
E05007040,Bagnall and Stanley,58,307,63,233,20.08911128,,
E05006919,Bagots,146,374,72,367,19.16092237,,
E05007375,Bagshot,552,725,279,722,9.798094158,,
E05000689,Baguley,5941,3642,2686,2140,17.0212766,,
E05001341,Baildon,973,2348,1134,2103,20.66115702,,
E05003930,Baird,1479,1307,613,650,14.23968288,,
E05003344,Bakewell,652,937,412,692,24.48279707,,
E05001000,Balby,3227,3410,1903,2077,13.61210527,,
E05000739,Balderstone and Kirkholt,3972,2496,1867,1344,18.55054365,,
E05006464,Balderton North,335,1083,403,739,16.56804734,,
E05006465,Balderton West,520,999,390,703,14.77272727,,
E05004762,Baldock East,85,252,107,323,11.95652174,,
E05004763,Baldock Town,1652,1289,647,977,26.67787315,,
E05007847,Baldwin,119,458,59,272,14.26988894,,
E05000610,Balham,1332,883,2653,1612,17.36416043,,
