GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese
Ampfield and Braishfield,0.005216043,0.027478029,0.007473508,0.037358435,0.651104383
Ampleforth,0.008951857,0.029035488,0.006246514,0.031181056,0.388960484
Ampney-Coln,0.015930077,0.023473134,0.006134969,0.037064274,0.446318062
Amport,0.014308874,0.040271443,0.00568879,0.046330343,0.42272473
Ampthill,0.083738634,0.174880409,0.057668712,0.208854243,0.358531237
Anchorsholme,0.01656446,0.197574814,0.105967652,0.149727901,0.404196795
Ancoats and Clayton,0.383097202,0.379575036,0.50295594,0.450654508,0.309014303
Anfield,0.212729964,0.474023807,0.422197434,0.319017503,0.50899111
Anglesey,0.013815465,0.062743353,0.024762967,0.070451537,0.713721898
Anglesey,0.035032072,0.165646902,0.106413832,0.144433005,0.789865138
Angmering,0.044829774,0.142730003,0.038817624,0.159288131,0.430675354
Anna,0.03482061,0.058070976,0.014277747,0.08765995,0.754588173
Annfield Plain,0.095016564,0.231950161,0.132961517,0.162670981,0.533475268
Ansdell,0.00937478,0.073423073,0.038817624,0.090307398,0.418592558
Anstey,0.047719743,0.157303371,0.057110987,0.140167672,0.725335558
Anston and Woodsetts,0.060971312,0.234508844,0.070496375,0.223268128,0.678013264
Apley Castle,0.007542116,0.037379019,0.012827663,0.04868363,0.293821943
Appleby,0.014872771,0.044053844,0.008588957,0.03897632,0.566631021
Appleby (Appleby),0.010502573,0.043386361,0.016508645,0.032946021,0.532352541
Appleby (Bongate),0.00768309,0.036489042,0.010150586,0.042506251,0.56520338
Appledore,0.016846409,0.059850929,0.028109314,0.072804824,0.510223787
Appleton,0.091421724,0.185448882,0.137088678,0.138843948,0.481186661
Appleton,0.034045253,0.132384025,0.046960402,0.170025004,0.481186661
Appleton,0.012687672,0.162865725,0.039709983,0.136196499,0.45827301
Appleton and Cumnor,0.034609149,0.088330181,0.036140547,0.119576408,0.811494665
Appleton Roebuck,0.00408825,0.024585605,0.003680982,0.030739815,0.454571991
Apsley and Corner Hall,0.129061817,0.138168873,0.070273285,0.169877923,0.356350314
Arboretum,0.296116163,0.501168094,0.452872281,0.360935432,0.349096205
Arboretum,0.273983224,0.209033263,0.337200223,0.255184586,0.641582215
Arboretum,0.035243533,0.094448771,0.095482432,0.12987204,0.389448465
Arborfield,0.017692253,0.030036712,0.006915784,0.043094573,0.81106648
Arbourthorne,0.544653556,0.622204917,0.403792526,0.410207383,0.82676163
Arbury,0.172199901,0.153854711,0.154155047,0.189880865,0.43459281
Arbury,0.019595404,0.036044054,0.01070831,0.04868363,0.329232978
Arbury,0.027208007,0.156079653,0.050195204,0.129283718,0.533638287
Ardingly and Balcombe,0.056812575,0.077539215,0.023424428,0.106927489,0.354458293
Ardleigh and Little Bromley,0.010995982,0.048614974,0.006804239,0.04235917,0.640069049
Ardsley and Robin Hood,0.191231409,0.455445545,0.159509202,0.393440212,0.21474446
Ardwick,0.539648974,0.325953944,0.454656999,0.333872628,0.391485864
Areley Kings,0.07950941,0.189676271,0.05989961,0.137520224,0.471751628
Arlecdon,0.007471629,0.027255535,0.007696598,0.028974849,0.510257593
Arlesey,0.133643476,0.235621315,0.062688232,0.256067069,0.798211646
Arleston,0.072178755,0.093892535,0.037479085,0.065892043,0.721582401
Arley and Whitacre,0.065764432,0.136833908,0.040267708,0.108545374,0.767462269
Armitage with Handsacre,0.037640093,0.135498943,0.03257111,0.103397558,0.400561379
Armley,0.475928667,0.681833352,0.569882878,0.562288572,0.658263352
Armthorpe,0.11122859,0.381911225,0.147462354,0.280188263,0.519829399
Arnside and Beetham,0.016423486,0.064412059,0.023647518,0.098102662,0.688692752
Arreton and Newchurch,0.012194262,0.077650462,0.015281651,0.080600088,0.670707447
Arundel,0.025727779,0.074090555,0.031121026,0.097073099,0.63336223
Ascot,0.020229788,0.073423073,0.020747351,0.092366524,0.398697519
Ascot and Cheapside,0.024388525,0.062965847,0.015616286,0.093396088,0.551175853
Ascott and Shipton,0.015084232,0.029925464,0.005131065,0.036181791,0.546563319
Asfordby,0.026291675,0.077984203,0.024205243,0.070598617,0.824061395
Ash and New Ash Green,0.026080214,0.073756814,0.026213051,0.120311811,0.5320151
Ash South and Tongham,0.06942976,0.146623651,0.040602342,0.149727901,0.247026307
Ash Vale,0.030238951,0.078985427,0.02208589,0.108839535,0.333129227
Ash Wharf,0.080919151,0.126932918,0.035917457,0.121047213,0.465147106
Ashbourne North,0.049763868,0.094560018,0.044060234,0.085894985,0.634165079
