field_1,LSOA,field_3,field_4,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,JunCURRENT_ENERGY_EFFICIENCY,JunPOTENTIAL_ENERGY_EFFICIENCY,JunENVIRONMENT_IMPACT_CURRENT,JunENVIRONMENT_IMPACT_POTENTIAL,JunENERGY_CONSUMPTION_CURRENT,JunENERGY_CONSUMPTION_POTENTIAL,JunCO2_EMISSIONS_CURRENT,JunCO2_EMISS_CURR_PER_FLOOR_AREA,JunCO2_EMISSIONS_POTENTIAL,JunLIGHTING_COST_CURRENT,JunLIGHTING_COST_POTENTIAL,JunHEATING_COST_CURRENT,JunHEATING_COST_POTENTIAL,JunHOT_WATER_COST_CURRENT,JunHOT_WATER_COST_POTENTIAL,TLSOA_ElecMean,TLSOA_GasMean,TLSOA_PrcnPost2000,TAgePost2000,TAgePre2000,TTotalBldngs,TDay_Jan18,TDay_Jun18,TNit_Jan18,TNit_Jun18,TEfficiency,TPotential_Efficiency,TEfficiencyDiff
4307,E01004534,,,63,78.28571429,57.85714286,75.28571429,222.8571429,122.1428571,4,39.14285714,2.057142857,101.4285714,66.42857143,688,498.7142857,104.2857143,79.14285714,103.5714286,63,78.28571429,57.85714286,75.28571429,222.8571429,122.1428571,4,39.14285714,2.057142857,101.4285714,66.42857143,688,498.7142857,104.2857143,79.14285714,3218,12212,0.011325,20,643,664,6.395,31.84857143,2.305555556,16.236,2,0,1
2751,E01002892,,,62.85714286,73.35714286,59.64285714,68.85714286,242.1428571,181,3.357142857,42.07142857,2.507142857,76.78571429,61.42857143,578.6428571,416.4285714,144.7857143,103.5,86.14285714,62.85714286,73.35714286,59.64285714,68.85714286,242.1428571,181,3.357142857,42.07142857,2.507142857,76.78571429,61.42857143,578.6428571,416.4285714,144.7857143,103.5,4649,14074,0.0010173,20,1241,1262,6.407142857,30.61375,0.980909091,16.65615385,1,3,2
547,E01000574,,,63,85.5,57.33333333,83.5,232,75.33333333,4.4,40.83333333,1.566666667,78.5,75.33333333,760.8333333,448,120.5,75.33333333,110.8333333,63,85.5,57.33333333,83.5,232,75.33333333,4.4,40.83333333,1.566666667,78.5,75.33333333,760.8333333,448,120.5,75.33333333,3715,18344,0,20,830,850,6.41,28.93470588,1.8625,14.55,1,1,3
3637,E01003825,,,72,86,68,83,165,74,3.1,29,1.4,69,69,528,426,106,76,107,72,86,68,83,165,74,3.1,29,1.4,69,69,528,426,106,76,3923,16124,0.0302115,20,641,662,6.416357576,29.72204403,2.165911111,13.81553358,1,1,3
1548,E01001618,,,76.9375,87.625,74.8125,86.875,142.5,62.5625,2.55625,25.3375,1.18125,79.5625,70.1875,471.3125,369.1875,124.3125,66.8125,109.9375,76.9375,87.625,74.8125,86.875,142.5,62.5625,2.55625,25.3375,1.18125,79.5625,70.1875,471.3125,369.1875,124.3125,66.8125,3667,13683,0.0166163,20,701,722,6.417930556,33.84260073,2.596520396,14.9097848,3,2,1
2890,E01003036,,,65.33333333,75.66666667,62,76.33333333,244.3333333,147.6666667,2.666666667,43,1.733333333,62.33333333,56,460.3333333,297.6666667,92.66666667,90.33333333,67.33333333,65.33333333,75.66666667,62,76.33333333,244.3333333,147.6666667,2.666666667,43,1.733333333,62.33333333,56,460.3333333,297.6666667,92.66666667,90.33333333,3093,11643,0.0266312,20,501,522,6.422857143,31.98,1.533712121,16.30903846,2,3,2
860,E01000903,,,71.75,79.75,68.25,76.75,192.25,140.5,2.825,33.75,2.1,62.25,62.25,417.25,328.5,161.5,115.75,87.25,71.75,79.75,68.25,76.75,192.25,140.5,2.825,33.75,2.1,62.25,62.25,417.25,328.5,161.5,115.75,3538,12511,0.0156695,20,744,765,6.425714286,32.1585,0.177424242,16.90629371,3,1,2
2674,E01002811,,,67,78.8,64,77.8,207.2,125.4,3.64,36.6,2.06,75.4,64,568.4,400.8,181.6,120.2,97.6,67,78.8,64,77.8,207.2,125.4,3.64,36.6,2.06,75.4,64,568.4,400.8,181.6,120.2,2547,10003,0.0273224,20,682,732,6.425833333,32.37895238,2.635763889,15.61490909,3,2,2
1090,E01001137,,,84.97826087,86.39130435,88.84782609,90.19565217,67.91304348,58.63043478,0.886956522,12.2173913,0.786956522,58.19565217,58.30434783,189.3478261,174.4782609,101.0869565,93.82608696,82.7173913,84.97826087,86.39130435,88.84782609,90.19565217,67.91304348,58.63043478,0.886956522,12.2173913,0.786956522,58.19565217,58.30434783,189.3478261,174.4782609,101.0869565,93.82608696,3310,10989,0.146771,20,570,591,6.427777778,34.10833333,1.55,14.59285714,3,0,2
4349,E01004577,,,63.8,79.6,65.3,82.3,225.6,119.1,2.71,39.1,1.32,76.9,50.4,501.2,204.7,142.8,104.6,69.5,63.8,79.6,65.3,82.3,225.6,119.1,2.71,39.1,1.32,76.9,50.4,501.2,204.7,142.8,104.6,4017,14123,0.084122,20,462,492,6.42875,31.70261905,1.378686869,16.44133333,2,0,1
2620,E01002755,,,67.25,75,64.75,75.25,224.75,155.25,2.825,39.75,2.025,69,55.25,489,342.75,93.75,94.25,73.25,67.25,75,64.75,75.25,224.75,155.25,2.825,39.75,2.025,69,55.25,489,342.75,93.75,94.25,2589,10143,0,20,841,951,6.433333333,32.43933333,2.455555556,15.91966667,3,3,2
2774,E01002915,,,53,80.25,46,75.5,300.75,111.25,5.8,53,2.225,99.25,70,917.75,576.5,198.5,70.75,110.25,53,80.25,46,75.5,300.75,111.25,5.8,53,2.225,99.25,70,917.75,576.5,198.5,70.75,4225,18635,0.0218688,20,785,806,6.440060606,29.70821429,1.556875,14.04433333,2,0,1
1499,E01001567,,,56,84,49.5,80.5,278,86.5,5.15,49,1.75,118,69.5,863,479.5,124,78,109,56,84,49.5,80.5,278,86.5,5.15,49,1.75,118,69.5,863,479.5,124,78,4562,21654,0.0316957,20,510,530,6.443333333,33.14428571,2.421428571,13.98333333,0,2,0
192,E01000204,,,53.8,76.8,47,73,381.2,208.6,6.46,67.2,2.6,104.4,67.6,1035.2,585.2,189.6,122.6,113.2,53.8,76.8,47,73,381.2,208.6,6.46,67.2,2.6,104.4,67.6,1035.2,585.2,189.6,122.6,4449,19895,0.0998574,20,660,680,6.45,31.65,3.294,15.322,1,3,3
1373,E01001431,,,77.77777778,81.44444444,78.22222222,82.22222222,130.4444444,104.6666667,1.744444444,23,1.344444444,54.77777778,52.55555556,291.6666667,267.6666667,91.44444444,82.66666667,73.66666667,77.77777778,81.44444444,78.22222222,82.22222222,130.4444444,104.6666667,1.744444444,23,1.344444444,54.77777778,52.55555556,291.6666667,267.6666667,91.44444444,82.66666667,4823,12336,0.03125,20,640,660,6.450833333,31.47146154,2.045,14.41706002,3,2,2
1522,E01001590,,,61.66666667,78.16666667,56.83333333,76.33333333,250,131.5,4.116666667,44,1.983333333,78.66666667,60.66666667,703.8333333,439.8333333,112,84.83333333,91.83333333,61.66666667,78.16666667,56.83333333,76.33333333,250,131.5,4.116666667,44,1.983333333,78.66666667,60.66666667,703.8333333,439.8333333,112,84.83333333,3445,14315,0.0013831,20,652,673,6.457037037,33.16134804,2.386623377,15.59648485,0,2,0
1800,E01001896,,,74.16666667,78.83333333,75.83333333,82.16666667,170,128.1666667,1.55,29.66666667,1.15,48.16666667,42.16666667,270.5,197.5,92.16666667,89.66666667,53.33333333,74.16666667,78.83333333,75.83333333,82.16666667,170,128.1666667,1.55,29.66666667,1.15,48.16666667,42.16666667,270.5,197.5,92.16666667,89.66666667,2595,10182,0.0277392,20,673,694,6.457142857,32.839375,1.366666667,16.26888889,3,1,2
1135,E01001185,,,60.6,76.5,57.4,74.3,301.4,182.1,2.93,52.6,1.72,50.6,46.7,498.7,306.5,142,100.8,57,60.6,76.5,57.4,74.3,301.4,182.1,2.93,52.6,1.72,50.6,46.7,498.7,306.5,142,100.8,3493,13041,0.065703,20,532,562,6.46,33.82090909,1.61,14.80866667,2,0,1
886,E01000929,,,43,66.5,39,65.5,424,214.5,5,74.5,2.75,85.5,51.5,858,498,169,105,69.5,43,66.5,39,65.5,424,214.5,5,74.5,2.75,85.5,51.5,858,498,169,105,3049,10777,0.0601504,20,613,643,6.466166667,31.74261905,0.900911172,16.71678513,1,3,3
2463,E01002590,,,67,78.125,68.125,80.75,246.5,140.75,2.525,43.125,1.4625,61.625,45.625,416.25,294.375,105.75,87.125,61.125,67,78.125,68.125,80.75,246.5,140.75,2.525,43.125,1.4625,61.625,45.625,416.25,294.375,105.75,87.125,3500,13190,0.0266312,20,670,690,6.468,30.215,1.588,14.25666667,1,1,3
