"station_1","station_2","distance"
304,305,649.204048511
94,282,7115.148277461
115,178,1265.602796664
115,184,1896.230505935
115,291,1157.854275645
125,134,1051.086895853
125,271,2158.567463893
134,220,1794.688161106
156,167,446.267091753
168,179,2110.100744812
168,214,3110.324529973
178,202,1746.271809721
179,180,1571.166604186
180,199,2169.832366641
184,199,1526.8459375
202,282,1452.510065219
210,291,1338.93226902
220,222,638.753925242
7,145,1258.741922313
7,188,1441.910198043
8,124,1559.90241295
8,264,967.846484903
12,56,1112.938528436
12,257,929.606093136
13,157,914.041663942
13,167,589.668130919
22,47,1005.867998301
22,111,1192.96675924
29,84,857.088276055
29,157,713.427049314
34,100,1430.364170064
34,119,1103.757618248
38,58,1259.871640974
38,81,1428.603467084
40,47,949.196875254
40,89,1370.831288263
40,139,1290.262042926
40,170,618.616306383
49,87,179.503417688
49,151,436.484594157
54,55,684.033191456
54,56,1212.542072304
55,245,952.742876279
58,119,2191.223677218
59,240,1022.658420558
59,258,1257.689247908
77,93,2485.199151685
77,124,1713.436255532
84,136,749.215181099
87,279,698.051460178
89,145,745.433312824
89,170,752.335561839
89,277,507.966506773
93,165,1417.778759908
93,288,983.877279066
100,111,2063.692012369
102,259,513.822610982
102,277,533.200420108
121,261,2471.525025173
136,191,899.478788344
136,279,1802.922342496
139,264,695.228546873
151,259,612.567713246
167,188,861.427033549
169,240,1482.377586792
191,245,1274.149742464
257,258,1113.856569648
261,302,1440.630671539
288,302,953.113159308
1,73,987.887900982
1,234,1891.239090545
1,265,1960.86829124
5,194,1869.50556829
5,252,1566.671017804
9,31,1200.928620265
9,232,1793.039229078
10,128,837.834046596
10,95,624.438215131
17,74,1164.949047559
17,110,850.902763514
30,176,866.470167733
30,190,2469.925251194
31,303,1471.08074582
39,128,633.679169705
39,145,1955.784928931
57,187,1313.730009748
60,126,582.890539056
60,151,318.247054227
73,182,824.041253658
74,99,1038.049385089
75,210,1779.73773095
75,222,1135.557554437
99,236,633.552488048
107,133,818.876529424
107,197,689.536883247
110,265,2062.45644039
116,117,2121.042142749
116,118,1902.224536806
116,132,2684.129890521
117,118,1322.2245077
125,134,1051.086895853
125,271,2158.567463893
126,223,693.871353853
130,131,736.206434185
130,132,1340.68318918
131,190,936.669487005
133,146,571.317310604
134,220,1794.688161106
145,223,868.81351694
146,236,1226.953984629
151,197,455.186240545
160,266,2190.595098724
176,234,517.651084128
182,194,1104.121573811
187,232,1733.488693197
210,235,1791.052709466
220,222,638.753925242
235,251,1374.528042223
251,252,1611.620293062
266,303,923.385894327
26,260,1238.043408241
26,274,1592.830290788
35,245,1220.51464785
89,145,745.433312824
89,277,507.966506773
95,123,2032.321857085
95,224,2968.213352955
107,192,927.841542127
107,273,1142.473528611
123,145,2178.796828462
192,277,1100.446144933
198,272,665.803351057
198,273,1121.427861305
224,260,1264.83014234
245,272,1543.644783754
13,279,2085.27534978
4,70,1324.661594763
4,201,447.803204077
