"station_1","station_2","distance"
13,225,2270.131723676
19,97,919.783697714
20,65,625.243097363
20,217,591.077084552
27,79,349.09883954
27,201,743.21986288
32,70,607.013573525
32,204,914.225709281
42,120,204.55161538
42,292,215.455867397
43,79,933.942514799
43,219,927.65396656
61,171,611.956756818
61,238,644.967825289
63,203,417.151277166
63,219,661.050357685
64,106,630.467255949
64,135,490.763738951
65,97,541.65057872
69,86,598.831771916
69,106,651.738796106
86,152,458.113991859
120,238,333.840691278
135,171,460.819995133
155,225,1140.480701841
155,284,954.348034583
201,284,676.380662453
201,292,222.371968294
203,217,901.189337692
204,247,1054.796463428
225,262,1276.332410979
284,292,524.907117049
95,160,1075.63223407
43,304,1667.929086699
