,Time (mins),Distance (m),Size (Moment Magnitude),Time (mins)_standard,Distance (m)_standard,Size (Moment Magnitude)_standard
141,26782,70753,1.8,-0.7146046938161832,2.526572169016211,-1.0911958791395626
142,26806,21789,2.0,-0.7103249126320871,-0.8659387614239569,-0.49783216019472265
143,27074,22957,2.4,-0.6625340227430144,-0.7850129227107366,0.6888952776949573
144,27332,39923,2.5,-0.6165263750139818,0.39049031325544037,0.9855771371673776
145,27368,3977,2.8,-0.6101067032378377,-2.1000578018005656,1.8756227155846372
146,27444,35980,1.9,-0.5965540628215334,0.1172963217775059,-0.794514019667143
147,27446,6793,2.7,-0.5961974143895254,-1.9049489303823908,1.5789408561122182
148,27758,58653,2.1,-0.5405602589962767,1.6882137371412411,-0.20115030072230236
149,27788,25221,2.5,-0.5352105325161567,-0.6281498243830563,0.9855771371673776
150,27912,26673,2.2,-0.5130983297316604,-0.5275468125580599,0.09553155875011796
151,28685,73074,1.8,-0.3752537107605664,2.6873845591304097,-1.0911958791395626
152,28719,50566,2.0,-0.3691906874164303,1.1278993042013334,-0.49783216019472265
153,29013,49583,1.7,-0.3167633679112536,1.0597913423390941,-1.387877738611983
154,29107,40577,2.6,-0.3000008916068773,0.4358032400691784,1.282258996639798
155,29107,23757,1.8,-0.3000008916068773,-0.7295842660578461,-1.0911958791395626
156,29176,21254,2.6,-0.28769652070260116,-0.9030066755605775,1.282258996639798
157,29294,38327,2.4,-0.2666542632141289,0.2799101432329236,0.6888952776949573
158,29332,22480,2.2,-0.2598779430059768,-0.8180622592400226,0.09553155875011796
159,29690,11533,2.5,-0.19603787367654388,-1.576534139714014,0.9855771371673776
160,29766,49411,2.6,-0.1824852332602397,1.0478741811587227,1.282258996639798
161,30050,24097,2.0,-0.13184115591510298,-0.7060270869803675,-0.49783216019472265
162,30454,54185,2.5,-0.05979817264948598,1.3786446897348472,0.9855771371673776
163,30479,25433,2.2,-0.05534006724938592,-0.6134612303700403,0.09553155875011796
164,30557,21962,2.6,-0.041430778401073724,-0.8539523144227693,1.282258996639798
165,30659,25322,2.2,-0.02324170836866547,-0.6211519564806288,0.09553155875011796
166,30721,20766,2.5,-0.012185606976417315,-0.9368181561188407,0.9855771371673776
167,30804,69709,2.3,0.0026153029519148927,2.454237772084189,0.39221341822253697
168,30948,48373,2.0,0.02829399005649125,0.9759554991515971,-0.49783216019472265
169,31328,37548,2.3,0.0960571921380122,0.22593648881717143,0.39221341822253697
170,31394,38010,2.3,0.10782659039427636,0.25794653803421574,0.39221341822253697
171,31435,20820,2.0,0.11513788325044047,-0.9330767217947706,-0.49783216019472265
172,31441,22586,1.9,0.11620782854646448,-0.8107179622335147,-0.794514019667143
173,31469,25707,1.8,0.12120090659457655,-0.5944769154664252,-1.0911958791395626
174,31558,25595,2.6,0.13707176181893277,-0.60223692739783,1.282258996639798
175,31625,22274,1.9,0.14901948429120093,-0.832335138328142,-0.794514019667143
176,31636,25592,1.8,0.15098105066724496,-0.6024447848602783,-1.0911958791395626
177,31777,24175,2.1,0.1761247651238093,-0.7006227929567107,-0.20115030072230236
178,31781,24139,2.6,0.17683806198782534,-0.7031170825060908,1.282258996639798
179,31789,39734,2.5,0.17826465571585734,0.37739529312119496,0.9855771371673776
180,31827,24226,2.6,0.18504097592400945,-0.6970892160950889,1.282258996639798
181,31841,24219,2.3,0.18753751494806548,-0.6975742168408018,0.39221341822253697
182,31842,3816,2.2,0.18771583916406948,-2.1112128189519597,0.09553155875011796
183,31854,72461,2.2,0.1898557297561175,2.6449123509701327,0.09553155875011796
184,31872,51447,1.9,0.19306556564418956,1.1889401123403291,-0.794514019667143
185,31884,21942,2.1,0.19520545623623758,-0.8553380308390915,-0.20115030072230236
186,31920,24042,1.6,0.20162512801238167,-0.7098378071252538,-1.6845595980844026
187,31989,21746,2.2,0.21392949891665786,-0.8689180517190498,0.09553155875011796
188,32042,54837,2.6,0.22338068236487,1.423819044906953,1.282258996639798
189,32061,51787,2.3,0.22676884246894602,1.2124972914178076,0.39221341822253697
190,32090,40232,2.4,0.2319402447330621,0.41189963188761936,0.6888952776949573
191,32114,35895,2.1,0.23622002591715816,0.11140702700813628,-0.20115030072230236
192,32132,25638,2.3,0.2394298618052302,-0.599257637102737,0.39221341822253697
193,32172,19839,1.7,0.24656283044539032,-1.0010461120153777,-1.387877738611983
194,32177,38319,2.4,0.24745445152541032,0.27935585666639473,0.6888952776949573
195,32200,24524,1.8,0.2515559084935024,-0.6764420414918872,-1.0911958791395626
196,32249,65824,2.7,0.2602937950776985,2.185062358213589,1.5789408561122182
197,32270,20485,2.5,0.26403860361378256,-0.9562874717681685,0.9855771371673776
198,32317,39031,1.8,0.27241984176597067,0.3286873610874674,-1.0911958791395626
199,32324,47883,2.3,0.27366811127799867,0.9420054469517016,0.39221341822253697
200,32335,24112,1.9,0.2756296776540427,-0.7049877996681259,-0.794514019667143
201,32358,51700,2.3,0.2797311346221348,1.2064694250068058,0.39221341822253697
202,32397,50013,2.3,0.2866857790462909,1.0895842452900228,0.39221341822253697
203,32443,59703,2.8,0.294888692982475,1.76096384899816,1.8756227155846372
204,32449,50373,2.2,0.295958638278499,1.1145271407838235,0.09553155875011796
205,32460,38657,2.0,0.29792020465454305,0.302774464102241,-0.49783216019472265
206,32469,25926,2.1,0.29952512259857905,-0.5793033207076964,-0.20115030072230236
207,32483,25006,2.1,0.3020216616226351,-0.6430462758585206,-0.20115030072230236
208,32537,45277,2.3,0.3116511692868512,0.7614465979049105,0.39221341822253697
209,32540,23388,2.1,0.3121861419348632,-0.7551507339389918,-0.20115030072230236
210,32556,53370,1.8,0.31503932939092727,1.322176745769715,-1.0911958791395626
211,32573,25264,2.6,0.3180708410629953,-0.6251705340879634,1.282258996639798
212,32695,10686,2.2,0.3398263954154836,-1.635219229945262,0.09553155875011796
213,32732,53475,1.8,0.3464243914076317,1.3294517569554067,-1.0911958791395626
214,32743,23089,2.4,0.34838595778367576,-0.7758671943630097,0.6888952776949573
215,32747,24026,2.5,0.34909925464769176,-0.7109463802583116,0.9855771371673776
216,32750,52488,2.6,0.34963422729570376,1.261066651809903,1.282258996639798
217,32751,37548,2.5,0.34981255151170776,0.22593648881717143,0.9855771371673776
218,32752,23561,2.0,0.34999087572771176,-0.7431642869378042,-0.49783216019472265
219,32771,50844,2.7,0.3533790358317878,1.147160762388213,1.5789408561122182
220,32778,22737,2.1,0.3546273053438158,-0.8002558032902816,-0.20115030072230236
221,32785,22600,1.9,0.3558755748558438,-0.8097479607420891,-0.794514019667143
222,32789,21703,2.5,0.35658887171985987,-0.8718973420141426,0.9855771371673776
223,32792,24583,1.8,0.35712384436787187,-0.6723541780637365,-1.0911958791395626
224,32793,50894,2.6,0.35730216858387587,1.1506250534290186,1.282258996639798
225,32795,40815,2.2,0.35765881701588387,0.45229326542341336,0.09553155875011796
