airpol coef,airpol pval,depriv coef,depriv pval,lifest coef,lifest pval,unempl coef,unempl pval,hlthserv coef,hlthserv pval
-6.88988195,0.001217038,-7.364193787,1.87E-42,1.310243107,0.000919961,-2.963193179,5.36E-10,0.591199003,0.220928277
-6.440153943,0.000226263,-7.575491637,4.12E-48,1.749856816,0.00023244,-2.699455162,7.96E-14,0.690856588,0.207752747
-7.609206371,2.31E-05,-7.113397022,7.11E-47,1.518795925,6.94E-05,-3.075002542,1.34E-11,-0.049319429,0.396074369
-5.193260647,0.000681728,-8.107304033,3.20E-46,1.806884771,4.15E-05,-2.75403213,7.52E-12,0.772640782,0.201926558
-6.952968242,0.000861514,-7.394441112,3.03E-43,1.40820075,0.000712589,-2.947193239,1.26E-10,0.639908062,0.20226244
-6.96389051,1.11E-06,-7.044894218,2.89E-52,1.586186282,5.79E-05,-2.409364813,5.01E-13,0.052273584,0.396670293
-3.891754126,0.192023707,-5.982271844,7.56E-05,0.188753933,0.285739404,-1.694640553,0.105048272,-0.492632573,0.290204642
-4.47587765,0.114176265,-6.485943626,2.18E-06,0.210924318,0.244976134,-2.426568556,0.026200527,-0.391340221,0.30988336
-3.109663373,0.221436465,-5.794167151,3.21E-05,0.124861767,0.334398428,-1.818662423,0.085090171,-0.338661298,0.329274663
-1.886841764,0.293118998,-5.897163918,0.000557744,0.068676942,0.375374754,-1.750764002,0.168342171,-0.228084633,0.371528467
-4.88631681,0.043912045,-8.507353835,1.92E-08,0.366964266,0.097643133,-3.849427701,0.001728473,-0.67335733,0.198770328
-4.691540508,0.047163785,-7.357566512,8.85E-08,0.264049153,0.164948528,-3.205575458,0.006096967,-0.471861712,0.265526583
-2.703568873,0.195089251,-8.127459808,0.000208304,0.203332835,0.285072361,-3.606562564,0.021107977,-0.512690281,0.287275004
-3.425864935,0.117245219,-8.619640385,3.66E-08,0.231077739,0.226233482,-3.732465328,0.004456,-0.654783605,0.171301139
-2.373920066,0.039447845,-6.076562215,3.01E-14,0.931164,0.033449922,-4.759877235,2.77E-05,-0.482276484,0.322448418
-2.487913416,0.071067108,-6.254653738,5.62E-11,0.759013303,0.064983575,-4.453423433,0.000243723,-0.542031497,0.309427882
-2.175262199,0.211530814,-6.325581286,2.04E-10,0.618489473,0.101863509,-3.012870471,0.005305536,-0.335252188,0.364431035
-1.975356284,0.246215965,-6.472964843,4.88E-09,0.675799866,0.095378,-4.337666936,0.002272472,-0.410981731,0.352009342
-1.821681343,0.295076942,-6.859317233,2.09E-07,0.769225194,0.103695027,-2.254760335,0.027998686,-0.167419896,0.390162121
-0.953351418,0.370322025,-6.895927242,1.86E-06,0.811981333,0.095452341,-3.326701991,0.012273163,-0.20414396,0.387625021
-2.585781271,0.003250924,-7.000964545,1.43E-34,1.240530965,0.005522874,-3.033975006,4.31E-09,-2.052426254,0.012985374
-2.563663025,0.033160413,-7.207774453,1.84E-23,1.115516887,0.03153192,-2.800929717,4.10E-06,-2.041687712,0.016803231
-2.816362776,8.85E-06,-6.933770056,8.04E-57,1.592008691,1.77E-06,-3.454284445,5.58E-20,-1.506683525,0.076253122
-2.607032911,0.010615381,-7.195681965,1.45E-29,1.047768057,0.014931435,-2.877375093,2.24E-07,-1.994435365,0.012781891
-2.86330361,1.05E-05,-7.236184105,2.61E-61,1.321107631,1.35E-05,-3.329687649,4.41E-18,-2.106135444,0.002303599
